label,short_label,pixels_1_annotator,pixels_2_annotators,pixels_3_annotators,pct_1_annotator,pct_2_annotators,pct_3_annotators,union_pixels_for_class
benign tissue,benign tissue,1402029,1102387,2484445,28.103188282856546,22.096967624473802,49.79984409266965,4988861
variable sized well-formed individual and discrete glands,individual glands,352378,288154,328027,36.38167628404671,29.7507947373366,33.86752897861669,968559
compressed or angular discrete glands,compressed glands,101989,3078,0,97.07044076636812,2.929559233631873,0.0,105067
poorly formed and fused glands,poorly formed glands,1697036,916510,689977,51.37049144201509,27.743412108830483,20.886096449154433,3303523
Cribriform glands,cribriform glands,1152341,549571,346620,56.25203804480477,26.827552608404456,16.920409346790777,2048532
Glomeruloid glands,glomeruloid glands,165792,4585,0,97.30890906636459,2.6910909336354085,0.0,170377
solid groups of tumor cells,group of tumor cells,930434,193539,52099,79.11369371943215,16.456390425076016,4.42991585549184,1176072
single cells,single cells,327058,20210,898,93.93737470057387,5.804702354623943,0.2579229448021921,348166
cords,cords,754212,588028,324052,45.26289509881821,35.28961310502601,19.447491796155777,1666292
presence of comedonecrosis,comedonecrosis,648432,61189,35415,87.03364669626703,8.2128917260374,4.753461577695575,745036
