annotation,benign tissue,3 - individual glands,3 - compressed glands,4 - poorly formed glands,4 - cribriform glands,4 - glomeruloid glands,5 - group of tumor cells,5 - single cells,5 - cords,5 - comedonecrosis
benign tissue,90.38741957901875,59.8315314034909,88.20663869674645,77.0866369957217,74.36533311548278,15.34716012797973,72.9708285445383,77.60276371758961,81.0510318617604,58.508872746561856
3 - individual glands,55.06689507907976,93.68266759961877,99.74243283348011,87.05046386218045,98.21995150257567,44.14894258725314,97.96359073964605,96.64378521190478,97.67827629055023,89.2895489256976
3 - compressed glands,22.501611863313993,94.84203739522889,100.0,98.25918762088975,100.0,69.43907156673113,100.0,99.54867827208253,99.4842037395229,94.1972920696325
4 - poorly formed glands,54.01256563158281,92.28586549848563,99.45765518397803,89.58697953237825,97.3419863968392,46.43179031429799,97.3244322409583,96.18131609008688,98.36798750772907,87.35157568199206
4 - cribriform glands,56.89933937471178,91.85525138764648,98.39983109328206,87.9903989865597,96.38906329001394,36.85555697545852,95.63231674454525,95.05670042948978,94.89501669620682,87.98206477350386
4 - glomeruloid glands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 - group of tumor cells,68.56490936941537,95.83067398519275,99.89309420474854,79.11028848608629,97.84114117947409,39.92053867755936,98.48098034209855,99.37771253510338,96.44338779678326,95.37113862649987
5 - single cells,73.05555555555556,87.22222222222223,100.0,94.44444444444444,96.11111111111111,41.11111111111111,95.27777777777777,100.0,98.05555555555556,88.05555555555556
5 - cords,85.23304956831493,81.38833544647709,99.12063032059409,88.33755962084163,89.43337559620842,33.72245366177625,90.38187526414298,94.86234377830102,94.39473525327537,78.13409406508482
5 - comedonecrosis,98.86363636363636,100.0,100.0,76.13636363636364,100.0,30.681818181818183,100.0,100.0,100.0,75.0
