sample_id,source_id,direct_accuracy,concept_accuracy,pattern_mean_set_size,concept_mean_set_size,n_valid_pattern_pixels,n_valid_explanation_pixels,n_pattern_classes,selection_score
TissueArray__PR633a_E6,PR633a_E6,0.44759297550747007,0.4895078644093247,3.2483909485394764,7.9775517098990205,34337,26639,3,-0.037208371763871415
TissueArray__PR1921b_B11,PR1921b_B11,0.4454704664862283,0.4106185293336873,3.248527304569336,7.986726838332891,37686,37670,3,-0.03526391107011266
TissueArray__PR482a_E2,PR482a_E2,0.5122157386704477,0.5791444144689754,3.222255548890222,8.008286076088751,36674,36326,4,-0.02872831785216845
TissueArray__PR1921b_D2,PR1921b_D2,0.4023957409050577,0.3856460272892961,3.0705646102834727,7.758139993103788,42826,40602,3,0.005264043644205456
TissueArray__PR1001_C1,PR1001_C1,0.5061488673139158,0.2191841397354166,3.122268454307289,7.886980874820356,32445,27137,3,0.013299987989800269
TissueArray__PR1921c_E12,PR1921c_E12,0.45277620250554207,0.5211695462312512,3.1867556838686393,7.723778784344571,38794,36869,2,0.01577085417339621
TissueArray__PR1921c_B7,PR1921c_B7,0.3977679741416965,0.4632764073371284,3.4144098890539007,7.61831752055661,45788,39525,3,0.026442071009327342
TissueArray__PR1001_G10,PR1001_G10,0.5111504131317877,0.6275128434219344,2.7113051648382016,7.387061648425285,36187,35816,3,0.034956973569753885
TissueArray__PR1921c_B5,PR1921c_B5,0.4811522194390835,0.2910386463509795,3.274134603539605,7.665817898065629,48706,48698,2,0.0488012456193551
TissueArray__PR1921c_J7,PR1921c_J7,0.5369204653959048,0.9730294944833057,3.01022032040174,6.859186077257759,56554,41601,3,0.060145556666819186
TissueArray__PR1921c_D11,PR1921c_D11,0.5066125553411284,0.23910205471676693,3.498240435917811,8.004767851061414,35236,35236,2,0.0766375297990691
TissueArray__PR482a_E1,PR482a_E1,0.5635479401702151,0.4444255944807306,3.373455481098199,8.1340797918964,35367,35367,3,0.08116775525207111
TissueArray__PR1921b_H12,PR1921b_H12,0.5769333511419794,0.342681001428464,3.0271136636837186,7.745770994662055,29948,26602,3,0.08310247779608702
TissueArray__PR633a_D3,PR633a_D3,0.3308862406963029,0.4828301218833763,3.4613820311546752,8.147271531886917,49174,39546,3,0.09051447118762244
TissueArray__PR633a_E3,PR633a_E3,0.528743625405656,0.6285890164006508,3.361529059720993,8.024754869630216,47454,22743,2,0.09369988518710004
TissueArray__PR1921c_G3,PR1921c_G3,0.5334149682454028,0.2462122784442323,3.0583620439168153,7.218919928604043,48182,48182,2,0.10137105142999454
TissueArray__PR1001_D3,PR1001_D3,0.39618715382967656,0.7547863294750123,2.5194773401878883,6.271161336332218,32679,18229,2,0.10761052583616355
TissueArray__PR1921b_D6,PR1921b_D6,0.5532758711860821,0.5400031727565967,3.2519697530537783,7.862540320448416,37822,37822,2,0.11610385489926492
TissueArray__PR1001_E3,PR1001_E3,0.3772566479629178,0.922808547754034,2.5033239814588923,4.27874691088821,32792,13758,3,0.1170354545609623
TissueArray__PR1921b_G9,PR1921b_G9,0.34056585738864464,0.4727272727272727,2.925030268272478,7.596631785480707,31386,30580,2,0.12050029617084212
TissueArray__PR1001_C6,PR1001_C6,0.5682606288428476,0.07045278291475272,3.197511437479966,7.962089124858319,34317,33526,2,0.12691930384487982
