output_level,class_id,label,n_pixels,coverage,average_set_size,threshold,alpha
direct_pattern,-1,all,14789958,0.8964586647237267,2.9592854827579638,0.1787252873182296,0.1
direct_pattern,0,benign tissue,3394978,0.8946052080455308,2.5813501589701024,0.2151673436164856,0.1
direct_pattern,1,Gleason pattern 3,3702747,0.8846767008385936,3.150127999563568,0.2351217865943908,0.1
direct_pattern,2,Gleason pattern 4,6273918,0.908060162724473,3.026013409802296,0.2119162082672119,0.1
direct_pattern,3,Gleason pattern 5,1418315,0.8803347634340749,3.070540747295206,0.0526958107948303,0.1
concept_explanation,-1,all,2016949,0.919604313247385,7.813412237989161,0.0692189514636993,0.1
concept_explanation,0,benign tissue,893579,0.9038741957901876,6.953582167888905,0.2183917760848999,0.1
concept_explanation,1,3 - individual glands,165782,0.9368266759961876,8.594865546319866,0.0389512181282043,0.1
concept_explanation,2,3 - compressed glands,1551,1.0,8.782720825274017,0.0005727410316467,0.1
concept_explanation,3,4 - poorly formed glands,381676,0.8958697953237825,8.583421540783283,0.1878407001495361,0.1
concept_explanation,4,4 - cribriform glands,179981,0.9638906329001394,8.419555397514182,0.0475132465362548,0.1
concept_explanation,6,5 - group of tumor cells,62672,0.9848098034209856,8.708338652029614,0.0538427233695983,0.1
concept_explanation,7,5 - single cells,360,1.0,8.733333333333333,0.0083656311035156,0.1
concept_explanation,8,5 - cords,331260,0.9439473525327536,8.350084525750166,0.0963898301124572,0.1
concept_explanation,9,5 - comedonecrosis,88,0.75,8.806818181818182,0.017305314540863,0.1
