class_id,label,n_pixels,coverage,average_set_size,threshold,alpha,output_level
-1,all,14789958,0.9399328246909153,3.241068838735039,0.135680690407753,0.05,direct_pattern
0,benign tissue,3394978,0.9433451409699857,2.8709423153846654,0.17805564403533936,0.05,direct_pattern
1,Gleason pattern 3,3702747,0.9373305818626009,3.4304828280193056,0.1939992904663086,0.05,direct_pattern
2,Gleason pattern 4,6273918,0.9416203718314456,3.2975612687319154,0.13116765022277832,0.05,direct_pattern
3,Gleason pattern 5,1418315,0.9310935864035845,3.3826385534948162,0.03950017690658569,0.05,direct_pattern
-1,all,2016949,0.9623758458939715,8.283404786139858,0.05866084098815918,0.05,concept_explanation
0,benign tissue,893579,0.9564090024496995,7.476567824445293,0.16936779022216797,0.05,concept_explanation
1,3 - individual glands,165782,0.9780555186932236,9.001115923320988,0.03165006637573242,0.05,concept_explanation
2,3 - compressed glands,1551,1.0,8.998710509348808,0.0004818439483642578,0.05,concept_explanation
3,4 - poorly formed glands,381676,0.947693855521437,8.987588949789874,0.17846107482910156,0.05,concept_explanation
4,4 - cribriform glands,179981,0.9811091170734688,8.811674565648596,0.03996556997299194,0.05,concept_explanation
6,5 - group of tumor cells,62672,0.9949738320142967,9.052910390605055,0.03367346525192261,0.05,concept_explanation
7,5 - single cells,360,1.0,9.205555555555556,0.006160557270050049,0.05,concept_explanation
8,5 - cords,331260,0.9710106864698425,8.852155406629233,0.09027659893035889,0.05,concept_explanation
9,5 - comedonecrosis,88,0.8409090909090909,9.056818181818182,0.014714539051055908,0.05,concept_explanation
-1,all,14789958,0.8964586647237267,2.9592854827579633,0.17872528731822968,0.1,direct_pattern
0,benign tissue,3394978,0.8946052080455308,2.5813501589701024,0.2151673436164856,0.1,direct_pattern
1,Gleason pattern 3,3702747,0.8846767008385936,3.1501279995635674,0.23512178659439087,0.1,direct_pattern
2,Gleason pattern 4,6273918,0.908060162724473,3.026013409802296,0.21191620826721191,0.1,direct_pattern
3,Gleason pattern 5,1418315,0.8803347634340749,3.070540747295206,0.05269581079483032,0.1,direct_pattern
-1,all,2016949,0.919604313247385,7.813412237989161,0.06921895146369934,0.1,concept_explanation
0,benign tissue,893579,0.9038741957901876,6.953582167888905,0.2183917760848999,0.1,concept_explanation
1,3 - individual glands,165782,0.9368266759961877,8.594865546319866,0.038951218128204346,0.1,concept_explanation
2,3 - compressed glands,1551,1.0,8.782720825274017,0.0005727410316467285,0.1,concept_explanation
3,4 - poorly formed glands,381676,0.8958697953237825,8.583421540783283,0.18784070014953613,0.1,concept_explanation
4,4 - cribriform glands,179981,0.9638906329001394,8.419555397514182,0.04751324653625488,0.1,concept_explanation
6,5 - group of tumor cells,62672,0.9848098034209855,8.708338652029614,0.05384272336959839,0.1,concept_explanation
7,5 - single cells,360,1.0,8.733333333333333,0.008365631103515625,0.1,concept_explanation
8,5 - cords,331260,0.9439473525327537,8.350084525750166,0.09638983011245728,0.1,concept_explanation
9,5 - comedonecrosis,88,0.75,8.806818181818182,0.017305314540863037,0.1,concept_explanation
