split,dataset,class_id,label,n_rows,n_pixels,mean_argmax_accuracy
test,Gleason2019,0,benign tissue,42,1466729,0.9370445980543864
test,Gleason2019,1,Gleason pattern 3,42,464895,0.09275746737092037
test,Gleason2019,2,Gleason pattern 4,42,601350,0.4278904955823896
test,Gleason2019,3,Gleason pattern 5,42,28331,0.0
test,TissueArray_concept_subset,0,benign tissue,59,893579,0.7442392457654307
test,TissueArray_concept_subset,1,Gleason pattern 3,59,170607,0.1927269375192801
test,TissueArray_concept_subset,2,Gleason pattern 4,59,672060,0.4423151175977813
test,TissueArray_concept_subset,3,Gleason pattern 5,59,555500,0.005289516722502996
test,Harvard_OCYCMP,0,benign tissue,306,1034670,0.3348974543175379
test,Harvard_OCYCMP,1,Gleason pattern 3,306,3067245,0.18860576445000402
test,Harvard_OCYCMP,2,Gleason pattern 4,306,5000508,0.5454178755117619
test,Harvard_OCYCMP,3,Gleason pattern 5,306,834484,0.016596784824776337
